epoch,D_A,G_A,cycle_A,idt_A,pred_A,D_B,G_B,cycle_B,idt_B,pred_B
1,888.3831059783697,821.7756744623184,1398.1728739738464,0.0,976.1409571766853,842.2214474827051,709.2693973183632,1307.3650802373886,0.0,924.5938777327538
2,583.9116876758635,852.1140806674957,1056.3494387865067,0.0,681.0438798069954,640.7875951528549,674.2454530000687,865.7724288702011,0.0,590.6022067666054
3,389.56549177132547,1008.8518574237823,1001.2405815720558,0.0,637.6767210364342,584.3114915937185,765.6466807723045,837.4491456747055,0.0,525.8109359741211
4,392.4187486730516,796.6019343435764,929.967042863369,0.0,598.4619997143745,483.6716098859906,871.6545473337173,766.045790374279,0.0,468.0911949276924
5,401.92991454154253,771.8197046220303,827.3806833028793,0.0,529.3594688475132,461.0765398442745,806.4179271161556,681.4269053936005,0.0,414.5845539867878
6,404.4484315253794,814.9723196327686,825.0729563236237,0.0,538.7904360890388,586.7171623408794,893.242484420538,701.2235716581345,0.0,400.99666345119476
7,371.2623703442514,812.0855045318604,770.1275678277016,0.0,470.2034514248371,623.9391741156578,517.006957411766,547.2076566815376,0.0,387.9046611189842
8,358.532947037369,879.7500195503235,711.4528433084488,0.0,486.10840877890587,519.714789673686,718.3998771905899,565.5733625888824,0.0,348.88093784451485
9,341.92667718976736,973.7435277700424,769.8396902084351,0.0,519.7676313221455,383.5319611914456,885.7698918282986,621.490692794323,0.0,405.2143805921078
10,381.08755638822913,978.6591967046261,706.8292786478996,0.0,486.37751722335815,382.4390099681914,903.5928758084774,578.2483907341957,0.0,333.6758240163326
11,362.9541358910501,938.1116014719009,672.6762194633484,0.0,495.923201829195,354.64310229197145,958.4839625656605,573.3733043670654,0.0,317.7882252931595
12,359.7171583287418,926.6818502545357,656.1755416989326,0.0,451.7734115719795,389.76637468487024,927.6860110759735,539.4037984609604,0.0,314.726316511631
13,343.78007153980434,972.8408555388451,667.2171642184258,0.0,460.52773863077164,375.7276297993958,941.5130239129066,535.4879434704781,0.0,348.0128694176674
14,257.37280243076384,1123.0630725622177,731.929296374321,0.0,443.29575821757317,343.64109317213297,913.6768378019333,514.3331656455994,0.0,424.4644912183285
15,266.41200121305883,1167.9372776150703,874.2291410565376,0.0,515.1850536465645,669.7565705813468,905.6624961793423,719.7702814340591,0.0,396.25570943951607
16,513.2831922005862,1337.196880787611,874.5832768082619,0.0,440.25865840911865,660.2023539841175,533.5287317037582,641.1995719075203,0.0,341.4816649258137
17,624.7861980199814,519.1098930239677,748.6282453536987,0.0,425.5965123474598,648.9205515533686,539.890201151371,564.65432035923,0.0,314.0021463930607
18,629.4662179648876,538.1194195151329,580.0304008722305,0.0,414.6627407670021,648.0685287714005,545.5460050106049,443.1030421555042,0.0,280.49419778585434
19,637.8160207569599,556.5458797812462,531.3998042941093,0.0,403.8714796900749,641.3646636903286,546.6004056334496,401.20227351784706,0.0,273.1360266804695
20,624.9271510839462,584.2329677343369,534.0343428850174,0.0,400.62024480104446,623.8417797535658,567.7691240906715,399.7737645506859,0.0,274.1871520578861
