epoch,D_A,G_A,cycle_A,idt_A,pred_A,D_B,G_B,cycle_B,idt_B,pred_B
1,374.6049762740731,288.6251698732376,450.49123045802116,0.0,320.67740070819855,310.92864864319563,244.83725753426552,415.11125284433365,0.0,296.02594470977783
2,191.73111063614488,177.5958981961012,316.2264711856842,0.0,209.87521566450596,172.00846621394157,157.1583501547575,280.6896757185459,0.0,198.19087037444115
3,173.74003963917494,155.8394161015749,245.52109417319298,0.0,178.12224674224854,168.23350252583623,151.48247781395912,230.18368163704872,0.0,157.2832738906145
4,170.34326241910458,160.2772615402937,232.50741384923458,0.0,164.87224265933037,168.52195717021823,154.18935470283031,216.6867055296898,0.0,142.1363067626953
5,164.6940668746829,164.2039846032858,201.46949838101864,0.0,145.88796958327293,164.1580907665193,149.0018251389265,178.64008262753487,0.0,127.78015537559986
6,197.9859599918127,197.15695747733116,280.17033667862415,0.0,160.2457501143217,163.19899256527424,163.38569566607475,223.28677402436733,0.0,142.84731371700764
7,134.10879657417536,179.64342845976353,224.74547174572945,0.0,136.71632634103298,159.6509212963283,159.61168006062508,179.61569978296757,0.0,120.70534455776215
8,106.30626582168043,260.5680287629366,237.1683310866356,0.0,131.84504267573357,159.00567308813334,161.4298877120018,176.33034709095955,0.0,146.48516078293324
9,102.28843034617603,234.3165214061737,205.8560585230589,0.0,127.72396072000265,156.51182272657752,160.91740192472935,163.82276797294617,0.0,126.17440170049667
10,184.98818941228092,292.0470556765795,269.84284852445126,0.0,178.78099922835827,179.08506483957171,193.44064743816853,245.90006209909916,0.0,153.2823412269354
11,156.46523575484753,130.27875876426697,205.97978222370148,0.0,146.13757380843163,135.53951540775597,189.4045630544424,204.5902118384838,0.0,113.24302423000336
12,154.7367184497416,134.5413285344839,256.74066695570946,0.0,185.02062612771988,242.3779454305768,228.86692163348198,252.700608715415,0.0,104.4167659431696
13,154.85318688303232,142.34764467179775,196.59229607880116,0.0,133.30429150909185,160.1076752282679,133.0083548128605,176.61923696100712,0.0,97.66844853758812
